Gene_id	Symbol	Gene_type	Sample_R01	Sample_R02	Sample_R03	Sample_R04	Sample_R05	Sample_R06	Sample_R07	Sample_R08	Sample_R09	Sample_R10	Sample_R11	Sample_R12	Sample_R13	Sample_R14
ENSMUSG00000000184	Ccnd2	protein_coding	3385	3646	2303	2625	1388	1594	5901	4409	2410	3051	13359	12373	1773	2221
ENSMUSG00000000194	Gpr107	protein_coding	1996	1906	1720	2059	1918	2571	2412	2242	2337	2402	1808	1670	1934	2197
ENSMUSG00000000197	Nalcn	protein_coding	0	0	3	2	0	0	12	14	0	0	1	0	2	0
ENSMUSG00000000202	Btbd17	protein_coding	28	24	53	36	9	15	84	26	6	7	0	2	9	1
ENSMUSG00000000204	Slfn4	protein_coding	5	12.37	12.04	8.06	10.29	10	8.02	11.35	8.88	9.2	13.17	10.78	6.58	19.13
ENSMUSG00000000214	Th	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	protein_coding	1	3	16	7	0	0	52	37	32	49	1	0	0	0
ENSMUSG00000000216	Scnn1g	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	protein_coding	773	808	936	1054	531	694	912	725	916	951	441	470	425	501
ENSMUSG00000000244	Tspan32	protein_coding	20	19	44	64	10	17	94	62	34	25	8	8	5	10
ENSMUSG00000000247	Lhx2	protein_coding	24	12	14	11	4	6	3	10	2	2	3	6	3	3
ENSMUSG00000000248	Clec2g	protein_coding	0	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSMUSG00000000253	Gmpr	protein_coding	160	120	196	201	191	266	233	190	175	171	29	19	95	106
ENSMUSG00000000263	Glra1	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	protein_coding	1055	1069	986	1096	1248	1598	1069	1112	741	769	412	306	899	1253
ENSMUSG00000000275	Trim25	protein_coding	1010	1051	857	1058	1530	1693	1229	1209	1636	1802	1129	1041	1095	1426
ENSMUSG00000000276	Dgke	protein_coding	392	459	290	334	298.37	256	286	268	407	448	214	167	287	349
ENSMUSG00000000278	Scpep1	protein_coding	3877	4151	3508	4053	4084	4419	5422	5042	2986	3278	13063	12087	4530	4885
ENSMUSG00000000282	Mnt	protein_coding	937	916	892	931	794	1138	1230	1169	1241	1400	1543	1736	968	1123
ENSMUSG00000000290	Itgb2	protein_coding	26	30	44	46	18	29	38	25	13	17	50	51	12	23
ENSMUSG00000000295	Hddc2	protein_coding	590	497	410	463	290	319	286	162	251	228	602	560	350	292
ENSMUSG00000000296	Tpd52l1	protein_coding	36	39	66	70	22	28	29	24	5	19	12	6	16	15
ENSMUSG00000000301	Pemt	protein_coding	126	127	51	74	32	28	73	50	32	33	119	95	51	36
ENSMUSG00000000303	Cdh1	protein_coding	0	1	3	4	0	1	8	6	15	11	0	2	1	0
ENSMUSG00000000305	Cdh4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000308	Ckmt1	protein_coding	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ENSMUSG00000000317	Bcl6b	protein_coding	106	112	135	149	24	29	47	47	11	18	8	14	58	79
ENSMUSG00000000318	Clec10a	protein_coding	9.08	17.56	19.53	13.8	32.73	42.51	22.59	15.01	15.2	21.01	16.93	14.68	86.57	72.14
ENSMUSG00000000320	Alox12	protein_coding	52	66	39	33	17	31	19	19	4	3	8	3	25	32
ENSMUSG00000000325	Arvcf	protein_coding	879	746	857	908	830	1216	1045	868	571	642	366	394	1105	1106
ENSMUSG00000000326	Comt	protein_coding	1671	1927	1345	1990	1520	1425	1937	1997	1374	1319	1424	1503	1868	2626
ENSMUSG00000000339	Rtca	protein_coding	1410	1442	1111	1167	954	1154	1306	1002	1157	1141	981	962	1277	1167
ENSMUSG00000000340	Dbt	protein_coding	303	276	202	230	189	249	315	255	454	374	445	400.99	190	225
ENSMUSG00000000346	Dazap2	protein_coding	7690	7456	6115	6880	6468	7852	6982	6947	8250	7887	7875	7499	6322	7091
ENSMUSG00000000355	Mcts1	protein_coding	570	610	586	646	598	554	686	538	721	627	577	559	692	705
ENSMUSG00000000359	Rem1	protein_coding	686	723	797	963	192	265	796	635	201	212	107	106	342	319.99
ENSMUSG00000000365	Rnf17	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	Trappc10	protein_coding	2766	2658	1827	2083	1917	2569	1978	1845	3108	3476	3141	3177	1805	2188
ENSMUSG00000000378	Ccm2	protein_coding	1565	1538	958	1031	1030	1355	971	792	1206	1205	1147	1213	1001	965
ENSMUSG00000000381	Wap	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	protein_coding	2108	1892	894.57	980	534.47	805	846.47	685.25	858	859.82	1262.97	1380	817	762
ENSMUSG00000000385	Tmprss2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000386	Mx1	protein_coding	1	2	1	1	6.21	1	3	0	5	3	4	4	2.52	5
ENSMUSG00000000392	Fap	protein_coding	13	7	108	80	41	50	117	77	22	16	9	7	19	26
ENSMUSG00000000394	Gcg	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	protein_coding	2270	2226	1566	1659	1545	1747	1742	1236	2226	2162	1629	1740	1854	1712
ENSMUSG00000000402	Egfl6	protein_coding	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000000409	Lck	protein_coding	14	12	9	6	9	13	8	11	1	1	16	8	4	5
ENSMUSG00000000411	Tssk3	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000416	Cttnbp2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000420	Galnt1	protein_coding	3707	3738	3033	3280	2571	3058	3042	2605	3425	3608	3975	3488	2625	3085
ENSMUSG00000000435	Myf5	protein_coding	1320	1232	1377	1366	4876	5576	3443	3317	4907	4698	3474	3150	7506	7249
ENSMUSG00000000439	Mkrn2	protein_coding	891	847	696.9	812.95	789	916	932	850	1283	1301	1116.96	1091	931	988
ENSMUSG00000000440	Pparg	protein_coding	697	651	438	479	417	420	515	486	290	306	257	317	587	621
ENSMUSG00000000441	Raf1	protein_coding	3329	3225	2414	2648	2052	2625	2799	2526	2510	2543	2871	2675	2392	2673
ENSMUSG00000000486	Sept1	protein_coding	17	17	13	14	13	33	27	25	24	29	10	5	25	31
ENSMUSG00000000489	Pdgfb	protein_coding	100	145	215	233	55	65	58	68	50	65	2	3	24	44
ENSMUSG00000000530	Acvrl1	protein_coding	19	19	44	28	16	36	168	156	41	37	13	12	17	24
ENSMUSG00000000531	Grasp	protein_coding	478	521	322	423	417	516	566	552	670	694	324	348	413	392
ENSMUSG00000000532	Acvr1b	protein_coding	610	569	405	475	378	548	464	386	510	566	533	564	282	371
ENSMUSG00000000538	Tom1l2	protein_coding	1956	1924	1996	2231	2265	3084	2306	2112	3093	3131	2710	2688	2452	2690
ENSMUSG00000000544	Gpa33	protein_coding	11	16	14	18	13	12	16	11	1	1	1	3	16	11
ENSMUSG00000000552	Zfp385a	protein_coding	1142	1190	945	1026	1587	2111	882	847	614	824	868	987	1398	1357
ENSMUSG00000000555	Itga5	protein_coding	9638	8955	9287	9425	6943	10081	11461	10792	7574	8434	5527	5679	7427	8298
ENSMUSG00000000560	Gabra2	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000561	Wdr77	protein_coding	2928.21	2915.11	1559.17	1721.72	813.9	1010.91	1350.82	1094.08	1636.24	1637.83	2791.46	2706.35	1169.28	1228.83
ENSMUSG00000000562	Adora3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563	Atp5f1	protein_coding	7113.5	6393.6	4847.13	5393.71	5692.68	6553.93	4775.25	3908.53	6857.99	6198.9	5531.53	5126.36	6609.81	5892.86
ENSMUSG00000000567	Sox9	protein_coding	1976	2204	1962	2397	1399	1469	1443	873	1147	1264	3340	3406	1296	1458
ENSMUSG00000000568	Hnrnpd	protein_coding	5932	6028	3776	3948	1592	1754	2629	1895	1843	1733	2565	2361	2053	2195
ENSMUSG00000000579	Dynlt1c	protein_coding	375.37	284.64	243.49	268.2	234.32	525.27	250.57	229.06	111.78	150.58	91.11	69.9	277.37	338.49
ENSMUSG00000000581	C1d	protein_coding	730	773	562	659	386	363	686	500	703	660	518	492	611	579
ENSMUSG00000000594	Gm2a	protein_coding	171	135	276	350	256	319	356	383	37	52	64	66	185	203
ENSMUSG00000000600	Krit1	protein_coding	1169	1272	1105	1193	1499	1764	1406	1332	1329.99	1447	1058.99	800	1329	1600
ENSMUSG00000000605	Clcn4	protein_coding	1876	1840	1550	1792	1648	2011	1812	1382	1943	1947	1967	1811	1474	1658
ENSMUSG00000000606	Vmn2r88	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	protein_coding	465	411	206	238	54	84	346	314	60	66	306	306	100	108
ENSMUSG00000000628	Hk2	protein_coding	3822	3748	1527	1824	2012	2737	2724	1867	5410	6075	19417	20753	2601	2967
ENSMUSG00000000631	Myo18a	protein_coding	5358	5141	5562	6183	5914	9130	6770	4776	11046	12895	2791	3101	4963	5767
ENSMUSG00000000632	Sez6	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ENSMUSG00000000673	Haao	protein_coding	0	1	0	1	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000000682	Cd52	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000686	Abhd15	protein_coding	18	12	6	5	10	23	10	5	16	35	29	40	16	12
ENSMUSG00000000690	Hoxb6	protein_coding	22	23	14	9	12	16	18	9	6	17	9	17	16	17
ENSMUSG00000000693	Loxl3	protein_coding	2303	2199	2637	2695	736	973	2589	2354	473	495	213	204	909	1043
ENSMUSG00000000701	Tcl1b5	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	protein_coding	1	1	1	0	1	2	0	1	1	0	0	1	2	1
ENSMUSG00000000708	Kat2b	protein_coding	1430	1500.59	1944.24	2086.57	1794.72	2238	2060.47	1537.18	1055.59	1051.48	576.58	471.84	1153.41	1363.28
ENSMUSG00000000711	Rab5b	protein_coding	3835.43	3815.65	4287.88	4767.35	4401.23	5574.95	5212.69	4953.74	6821.18	7005.52	4494.72	4466.54	3753.79	4419.31
ENSMUSG00000000724	Cryba1	protein_coding	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	protein_coding	0	0	0	0	0	0	0	1	0	0	10	10	0	0
ENSMUSG00000000731	Aire	protein_coding	3	1	0	0	0	0	1	6	0	0	4	4	0	0
ENSMUSG00000000732	Icosl	protein_coding	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSMUSG00000000738	Spg7	protein_coding	2467	2299	2133	2221	2494	3524	2297	1646	1719	1886	1874	1937	2637	2466
ENSMUSG00000000739	Sult5a1	protein_coding	0	1	0	4	0	1	3	1	3	0	1	0	0	1
ENSMUSG00000000740	Rpl13	protein_coding	19931.68	5499.84	11328.2	4202.29	4742.34	24337.05	8044.06	5031.27	6577.02	5446.33	11117.77	12296.51	10421.11	6592.01
ENSMUSG00000000743	Chmp1a	protein_coding	2298.01	2431.45	1709.96	1988.49	1978.87	2396	2553.44	1979.12	3163.86	3136.37	3113.92	3450.5	2393.64	2118.16
ENSMUSG00000000751	Rpa1	protein_coding	6001	5952	3165	3745	1963	2280	1529	1183	1633	1783	3053	3001	3019	3065
ENSMUSG00000000753	Serpinf1	protein_coding	14753	13379	8836	9928	4947	7383	12411	9650	3286	3701	9164	9612	6679	6509
ENSMUSG00000000759	Tubgcp3	protein_coding	1852	1783	1264	1462	937	1161	1037	988	829	861	1272	1234	978	1241
ENSMUSG00000000766	Oprm1	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	protein_coding	860	781	465	562	341	524	573	578	767	686	776	838	428	374
ENSMUSG00000000782	Tcf7	protein_coding	957	996	914	1253	690	632	1053	1005	365	430	470	472	566	676
ENSMUSG00000000787	Ddx3x	protein_coding	14768.98	15550.51	9879.7	10432.98	10028.89	11568	10731.4	10449.19	10006.86	10004.96	15875.28	12670.49	10531.84	11933.91
ENSMUSG00000000791	Il12rb1	protein_coding	165	186	131	123	63	66	147	119	48	56	36	50	66	71
ENSMUSG00000000792	Slc5a5	protein_coding	8	5	10	12	12	8	8	11	22	26	2	6	4	2
ENSMUSG00000000794	Kcnn3	protein_coding	277	372	555	609	1646	2344	1027	753	6841	7558	529	482	615	892
ENSMUSG00000000804	Usp32	protein_coding	1552	1709	1598	1698	1559	2081	1845	1585	1443	1612	1749	1508	1255	1642
ENSMUSG00000000805	Car4	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	protein_coding	528	498	431	381	284	394	412	388	401	380	628	602	316	305
ENSMUSG00000000817	Fasl	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000823	Zfp512b	protein_coding	593	601	518	568	446.97	678	595.91	522.69	556	601.6	317	319	580.94	647
ENSMUSG00000000826	Dnajc5	protein_coding	2579	2879	2220	2604	2268	2622	2567	2346	2983	3225	4470	4325	2260	2622
ENSMUSG00000000827	Tpd52l2	protein_coding	1990.69	1887.45	1823.57	1899.92	1405.4	1765	2469.07	1897.86	2447	2231	2366.47	2385	1567.33	1514.47
ENSMUSG00000000838	Fmr1	protein_coding	3817.35	4261.75	3033.42	3203.56	3829.32	4046.1	2388.46	2255.03	1865.62	1808.63	3073.64	2394.04	3846.34	4533.71
ENSMUSG00000000861	Bcl11a	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000869	Il4	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	protein_coding	191	208	270	310	472	496	360	300	359	336	191	180	413	450
ENSMUSG00000000881	Dlg3	protein_coding	722	721	722	668	883	1136	945	832	459	544	249	265	846	878
ENSMUSG00000000884	Gnb1l	protein_coding	124.74	121.36	103	117	28	53	60.6	51.7	58.64	52	34.56	44.71	57	36.44
ENSMUSG00000000889	Dbh	protein_coding	4	1	15	17	7	3	11	8	34	38	12	20	2	1
ENSMUSG00000000901	Mmp11	protein_coding	1433	1377	1339	1355	1249	1890	2232	1982	1078	1142	2751	2502	1455	1603
ENSMUSG00000000902	Smarcb1	protein_coding	3980	3764	2849	3037	2086	2920	2464	1992	1458	1532	3134	3380	2667	2541
ENSMUSG00000000903	Vpreb3	protein_coding	1	2	1	1	0	4	2	1	1	0	7	3	2	4
ENSMUSG00000000915	Hip1r	protein_coding	2656	2467	1884	1985	1541	2163	2089	1615	1724.99	1871	1010	1084	2362	2246
ENSMUSG00000000916	Nsun5	protein_coding	695	605	357	351	277	334	399	332	468	458	409	452	347	309
ENSMUSG00000000934	Top1mt	protein_coding	554	534	330	382	220	321	500	381	420	432	412	426	225	209
ENSMUSG00000000938	Hoxa10	protein_coding	672	728	671	757	870	932	1053	811	728	720	584	661	973	974
ENSMUSG00000000942	Hoxa4	protein_coding	16	9	1	9	11	5	7	13	15	15	1	1	7	16
ENSMUSG00000000948	Gm38393	protein_coding	40.15	64.59	44.43	36	40	39	40.07	42	27	31.29	8	4	42	81.22
ENSMUSG00000000957	Mmp14	protein_coding	6227	5857	4957	5291	4232	6034	7240	5893	3148	3416	4845	4468	4826	5048
ENSMUSG00000000958	Slc7a7	protein_coding	30	30	54	71	32	18	74	61	50	37	175	165	21	25
ENSMUSG00000000959	Oxa1l	protein_coding	2011	1937	1711	2018	2373	3044	2550	2375	2103	2083	1990	2201	2733	2709
ENSMUSG00000000976	Heatr6	protein_coding	1150	1249.74	985	1188.95	995.88	1267	1023.48	1050.97	740.97	859	1070.8	1034	933.95	1137.9
ENSMUSG00000000982	Ccl3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000983	Wfdc18	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	protein_coding	2	1	5	0	0	1	1	1	2	0	0	1	1	1
ENSMUSG00000001016	Ilf2	protein_coding	3474.66	3354.02	2034.75	2228.71	1898.66	2205	1790	1370.83	1936.01	1859.78	2968.03	3050	2559.06	2407.06
ENSMUSG00000001017	Chtop	protein_coding	4974	4769.02	3669.14	3967.22	3113.62	4046	4138.75	3190.79	4117.42	3791.95	4377.45	4521.62	3441.24	3272.68
ENSMUSG00000001018	Snapin	protein_coding	1036	1051	1220	1491	1556	1649	1678	1436	2117.96	2153	1624	1605	1792	2013
ENSMUSG00000001020	S100a4	protein_coding	18323	16841.37	17872.37	20194.71	4428	5138	17993.92	13675	1568	1541	1751	1890.1	4792	4115.41
ENSMUSG00000001021	S100a3	protein_coding	77	88.22	65.49	65.53	36	37	39.65	35	11	7	4	8.62	31	35.51
ENSMUSG00000001023	S100a5	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	protein_coding	18066	17899	20023	21094	10678	12509	18646	13035	5770	5576	9927	10454	15322	12925
ENSMUSG00000001027	Scn4a	protein_coding	4	2	25	31	68	75	164	138.51	799	888	21	17	16	16.19
ENSMUSG00000001029	Icam2	protein_coding	0	0	0	0	1	0	0	1	0	0	1	0	1	0
ENSMUSG00000001034	Mapk7	protein_coding	917	863	812	864	738	1107	928	906	736	802	689	783	715	799
ENSMUSG00000001036	Epn2	protein_coding	2066	1980	2165	2141	2736	3867	2799	2517	2134	2483	842	794	2585	2795
ENSMUSG00000001039	B9d1	protein_coding	205	212	166	166	118	126	189	111	61	79	152	142	138	125
ENSMUSG00000001052	Sec24b	protein_coding	3343	3547	2603	3049	2658	3338	2468	2131	1382	1687	1867	1870	2257	2874
ENSMUSG00000001053	N4bp3	protein_coding	116	82	93	117	35	39	67	51	33	45	14	15	39	18
ENSMUSG00000001054	Rmnd5b	protein_coding	898	754	590	673	538	802	691	574	717	798	722	739	652	641
ENSMUSG00000001056	Nhp2	protein_coding	2389	2113	729	830	488	595	755	569	1284	1154	2257	2779	855	657
ENSMUSG00000001062	Vps9d1	protein_coding	431	429.04	421	431	306	438	420	340	324	364	245	249.03	348	333
ENSMUSG00000001065	Zfp276	protein_coding	576	499	468	461	366	646	610	469	560	560	433	484	428	435
ENSMUSG00000001076	C1ql4	protein_coding	2	0	0	0	2	0	3	2	0	0	0	0	1	0
ENSMUSG00000001082	Mfsd10	protein_coding	770	744	480	596	354	438	471	446	301	301	536	520	413	426
ENSMUSG00000001089	Luzp1	protein_coding	3329	3661	2346	2665	2033	2670	2453	2311	1830	2104	1824	1544	2218	2788
ENSMUSG00000001095	Slc13a2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	protein_coding	5488	5240	4188	4492	3246	4609	3611	3317	2488	2513	3295	3603	3682	3797
ENSMUSG00000001100	Poldip2	protein_coding	2332	2223	1438	1540	1555	2070	2112	1693	2773	2870	1998	2098	1846	1749
ENSMUSG00000001103	Sebox	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	protein_coding	521	529	649	721	830	826	967	839	783	706	773	813	979	803
ENSMUSG00000001119	Col6a1	protein_coding	1492	1374	4372	4921	4918	7066	29568	24666	9986	11029	5419	4710	5062	5959
ENSMUSG00000001120	Pcbp3	protein_coding	145	153	129	156	114	157	122	108	34	40	178	165	198	207
ENSMUSG00000001123	Lgals9	protein_coding	507	472	501	580	216	277	357	310	86	85	210	196	281	281
ENSMUSG00000001127	Araf	protein_coding	1541	1465	1285	1437	1528	2020	1718	1416	1895	1884	1489	1524	1766	1736
ENSMUSG00000001128	Cfp	protein_coding	40	50	26	35	40	47	53	33	26	32	31	16	38	36
ENSMUSG00000001131	Timp1	protein_coding	7415	7108	6242	6857	1782	2210	4875	4048	1956	1942	2282	2393	2775	2240
ENSMUSG00000001134	Uxt	protein_coding	296.9	297.26	221.19	244.59	143.07	192	257.62	182.64	205.24	170.03	305.54	342.68	220.88	195.37
ENSMUSG00000001138	Cnnm3	protein_coding	461.25	457.38	472.41	542.11	363.36	498	540.39	449.78	362.74	385.48	483.45	485.74	373.46	386.06
ENSMUSG00000001143	Lman2l	protein_coding	736	674.88	809	933.93	936.82	1274	1420.84	1037.71	1212.86	1334.45	852	915.89	886.77	1003
ENSMUSG00000001150	Mcm3ap	protein_coding	2799	2697	1861	2009	1537	2084	1791	1419	1288	1414	1425	1371	1428	1652
ENSMUSG00000001151	Pcnt	protein_coding	2931	2893	1915	2008	1394	1842	1542	1113	1194	1461	1747	1727	1489	1918
ENSMUSG00000001155	Ftcd	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001156	Mxd1	protein_coding	167	154	210	217	331	430	329	339	290	289	325	352	379	403
ENSMUSG00000001157	Gmcl1	protein_coding	903	882	655	738	753	855	697	568	652	666	910	857	784	950
ENSMUSG00000001158	Snrnp27	protein_coding	790	806	650	779	801	815	834	692	1314	1102	1008	1054	960	835
ENSMUSG00000001166	Oas1c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001168	Oas1h	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	protein_coding	1186	1335	1292	1551	1080	1280	1285	1146	471	482	842	776	921	1211
ENSMUSG00000001175	Calm1	protein_coding	15187	14174	10420	12427	13395	14748	9901	6640	15483	14917	14055	14085	12866	12908
ENSMUSG00000001211	Agpat3	protein_coding	4465	4094	3457	3851	3925	5454	3647	2871	5859	6132	2750	2773	3279	3391
ENSMUSG00000001225	Slc26a3	protein_coding	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000001227	Sema6b	protein_coding	167	155	101	126	100	127	84	86	40	38	50	52	59	65
ENSMUSG00000001228	Uhrf1	protein_coding	5481.4	5307.61	2850.79	3100.16	986.81	1212	604.68	452.84	272.95	283.89	1546.16	1467.36	1446.11	1550.94
ENSMUSG00000001229	Dpp9	protein_coding	3037	2750	1670	1832	1260	1839	1633	1391	1151	1258	1792	1842	1526	1596
ENSMUSG00000001240	Ramp2	protein_coding	23.72	10	12.36	12	10	11	39.38	12	5	5	14.93	9	1	0
ENSMUSG00000001247	Lsr	protein_coding	0	1	2	0	0	2	0	0	0	0	1	0	0	0
ENSMUSG00000001248	Gramd1a	protein_coding	995	828	972	1131	1907	2906	1429	1468	1899	2124	1247	1389	2133	2102
ENSMUSG00000001249	Hpn	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	2
ENSMUSG00000001260	Gabrg1	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001270	Ckb	protein_coding	2461.15	2028.37	1896.06	1940.97	1048.49	1512.3	1102.41	646.38	1479.15	1594.3	322.79	377.31	917.37	760.4
ENSMUSG00000001280	Sp1	protein_coding	4733	5188	4098	4713	4080	4583	4503	4212	2825	3418	4182	3511	3083	4530
ENSMUSG00000001281	Itgb7	protein_coding	461	367	449	458	467	655	115	70	7	25	1072	1007	659	639
ENSMUSG00000001285	Myg1	protein_coding	1685.9	1533.73	993.57	1076.27	614.15	864.76	1100.98	798.27	653.84	612.85	1018.38	1148.1	879.56	728.15
ENSMUSG00000001288	Rarg	protein_coding	3849	3729	4090	4467	2965	4158	3886	3723	1767	1869	2133	2173	3654	3479
ENSMUSG00000001289	Pfdn5	protein_coding	2828.71	2665.96	2304.29	2703.8	2592.74	3271.24	3900.69	3096.54	5052.64	4495.82	4086.46	4374.69	3456.19	2949.01
